idx,label,latency_s,valid,reason_or_hint,prompt,refined
11,llm-on,1.9077,True,,"pls ASAP create a dfd!!! need arrows etc for ride-sharing app, just do it quickly???? thx","Create a DFD illustrating the interactions between riders, drivers, and the ride-sharing platform, including processes for ride requests, driver assignments, and payment processing."
12,llm-on,2.2431,True,,"A health records system where users sign up and log in; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a health records system with user sign-up and login processes, payment processing through an external gateway, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment/API."
13,llm-on,2.4034,True,,"A online bookstore where stream media over CDN; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an online bookstore where customers place orders, track status, and interact with a database while sensitive data flows to an external payment API across a trust boundary."
14,llm-on,1.7426,True,,university course registration. make a diagram.,"Create a DFD illustrating the university course registration process involving students, course offerings, and registration data storage."
15,llm-on,2.0445,True,,"A food delivery platform where files uploaded and stored in a database; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform with actors uploading files, scheduling appointments, sending reminders, storing data in a database, and managing sensitive flows crossing a trust boundary to an external payment/API."
16,llm-on,2.0491,True,,IoT home automation system. make a diagram.,"Create a DFD illustrating an IoT home automation system with devices, user interactions, and data management processes."
17,llm-on,2.0931,True,,"pls ASAP create a dfd!!! need arrows etc for health records system, just do it quickly???? thx","Create a DFD illustrating the health records system with actors such as patients and healthcare providers, processes for managing records, and data stores for patient information."
18,llm-on,1.6792,True,,"pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx","Create a DFD illustrating an online bookstore with customers placing orders, a payment processing system, and a database for inventory management."
19,llm-on,2.7949,True,,"A banking portal where search and browse items; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a banking portal where customers search and browse items, place orders, and track status, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
20,llm-on,1.5477,True,,"pls ASAP create a dfd!!! need arrows etc for banking portal, just do it quickly???? thx","Create a DFD illustrating a banking portal with users, account management, transaction processing, and data storage."
21,llm-on,2.5364,True,,"A chat application where customers place orders and track status; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a chat application where customers place orders, track status, sign up, and log in, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
22,llm-on,2.3208,True,,"A IoT home automation system where search and browse items; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system with actors searching and browsing items, streaming media over a CDN, storing data in a database, and handling sensitive flows crossing a trust boundary to an external payment/API."
23,llm-on,1.7712,True,,online bookstore. make a diagram.,"Create a DFD illustrating an online bookstore with customers placing orders, a payment processing system, and a database for inventory management."
24,llm-on,2.1555,True,,health records system. make a diagram.,"Create a DFD illustrating a health records system involving patients, healthcare providers, and a central database for storing medical records."
25,llm-on,2.4535,True,,"A IoT home automation system where appointments scheduled and reminders sent; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system where users schedule appointments and receive reminders, riders request rides, drivers accept requests, and data is stored in a database with sensitive flows crossing a trust boundary to an external payment/API."
26,llm-on,1.6932,True,,banking portal. make a diagram.,"Create a DFD illustrating a banking portal with users, account management, transaction processing, and data storage."
27,llm-on,2.0994,True,,"pls ASAP create a dfd!!! need arrows etc for chat application, just do it quickly???? thx","Create a DFD illustrating a chat application with users sending messages to a server, which stores chat history and facilitates message delivery between users."
28,llm-on,2.6524,True,,"A IoT home automation system where payments processed via external gateway; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system with real-time message exchanges, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment gateway."
29,llm-on,2.1325,True,,"A food delivery platform where appointments scheduled and reminders sent; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform with actors scheduling appointments, sending reminders, streaming media, storing data in a database, and handling sensitive flows crossing a trust boundary to an external payment/API."
30,llm-on,2.1122,True,,"pls ASAP create a dfd!!! need arrows etc for ride-sharing app, just do it quickly???? thx","Create a DFD illustrating a ride-sharing app with users, drivers, a matching process, and a payment system."
31,llm-on,2.2729,True,,"A online bookstore where messages exchanged in real time; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an online bookstore with real-time message exchanges, payment processing through an external gateway, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment API."
32,llm-on,2.4145,True,,"A online bookstore where customers place orders and track status; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an online bookstore where customers place orders, track status, and upload files stored in a database, with sensitive data flows crossing a trust boundary to an external payment/API."
33,llm-on,2.9035,True,,"A IoT home automation system where riders request rides and drivers accept; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system where riders request rides, drivers accept requests, files are uploaded and stored in a database, and sensitive data flows to an external payment/API across a trust boundary."
34,llm-on,2.0829,True,,video streaming service. make a diagram.,"Create a DFD illustrating a video streaming service involving users, video content, and a content delivery network."
35,llm-on,2.3699,True,,"pls ASAP create a dfd!!! need arrows etc for ticketing system, just do it quickly???? thx","Create a DFD illustrating a ticketing system involving users, ticket agents, a ticket database, and the flow of ticket requests and confirmations."
36,llm-on,2.8502,True,,"A food delivery platform where search and browse items; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform where customers search and browse items, place orders, track status, and interact with a database while sensitive data flows to an external payment API across a trust boundary."
37,llm-on,2.817,True,,"A ride-sharing app where users sign up and log in; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ride-sharing application where users sign up, log in, search, and browse items, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
38,llm-on,2.3173,True,,"A university course registration where messages exchanged in real time; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a university course registration system involving real-time message exchanges, item searches, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment/API."
39,llm-on,2.41,True,,"A chat application where messages exchanged in real time; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a chat application with real-time message exchange, item search and browsing, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment/API."
40,llm-on,2.0655,True,,"pls ASAP create a dfd!!! need arrows etc for chat application, just do it quickly???? thx","Create a DFD illustrating a chat application with users sending messages to each other through a server, storing chat history in a database."
41,llm-on,2.4874,True,,"A ticketing system where payments processed via external gateway; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ticketing system with an external payment gateway, real-time message exchanges, a database for data storage, and sensitive data flows crossing a trust boundary to an external API."
42,llm-on,5.8379,True,,"A ride-sharing app where payments processed via external gateway; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ride-sharing application with actors, processes for payment processing and real-time messaging, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment API."
43,llm-on,2.6036,True,,"A university course registration where customers place orders and track status; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a university course registration system where customers place orders, track status, riders request rides, drivers accept rides, and data is stored in a database with sensitive flows crossing a trust boundary to an external payment/API."
44,llm-on,2.1356,True,,banking portal. make a diagram.,"Create a DFD illustrating the banking portal with users accessing account information, making transactions, and interacting with a database for account management."
45,llm-on,1.822,True,,"A health records system where stream media over CDN; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a health records system with actors uploading files to a database, processes managing sensitive data flows crossing a trust boundary to an external payment/API."
46,llm-on,2.625,True,,IoT home automation system. make a diagram.,"Create a DFD illustrating an IoT home automation system with devices, user interfaces, and data storage for controlling and monitoring home functions."
47,llm-on,2.8161,True,,"A ride-sharing app where riders request rides and drivers accept; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ride-sharing app where riders request rides, drivers accept them, customers place orders, and track status, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
48,llm-on,5.4182,True,,video streaming service. make a diagram.,"Create a DFD illustrating a video streaming service with users, video content, and a content delivery network."
49,llm-on,2.6728,True,,"pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx","Create a DFD illustrating the processes of an online bookstore including customers placing orders, inventory management, and payment processing."
50,llm-on,2.1156,True,,"A online bookstore where files uploaded and stored in a database; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an online bookstore with actors uploading files, a database storing data, real-time message exchanges, and sensitive data flows crossing a trust boundary to an external payment/API."
51,llm-on,2.5227,True,,"A IoT home automation system where riders request rides and drivers accept; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system where riders request rides, drivers accept requests, files are uploaded and stored in a database, and sensitive data flows to an external payment/API across a trust boundary."
52,llm-on,1.8297,True,,ticketing system. make a diagram.,"Create a DFD illustrating a ticketing system involving users, ticket creation, ticket management, and a database for storing ticket information."
53,llm-on,2.334,True,,"pls ASAP create a dfd!!! need arrows etc for health records system, just do it quickly???? thx","Create a DFD illustrating the health records system with actors such as patients and healthcare providers, processes for managing records, and data stores for patient information."
54,llm-on,1.9391,True,,university course registration. make a diagram.,"Create a DFD illustrating the university course registration process involving students, course offerings, and registration data storage."
55,llm-on,2.1421,True,,food delivery platform. make a diagram.,"Create a DFD illustrating a food delivery platform involving customers, restaurants, delivery personnel, order processing, and payment systems."
56,llm-on,2.0563,True,,banking portal. make a diagram.,"Create a DFD illustrating a banking portal with users, account management, transaction processing, and data storage."
57,llm-on,2.4013,True,,"pls ASAP create a dfd!!! need arrows etc for university course registration, just do it quickly???? thx","Create a DFD illustrating the university course registration process involving students, course databases, and registration systems."
58,llm-on,10.3891,True,,"A ticketing system where users sign up and log in; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ticketing system where users sign up, log in, request rides, and drivers accept rides, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
59,llm-on,2.5563,True,,video streaming service. make a diagram.,"Create a DFD illustrating a video streaming service with users, content servers, and a database for user data and video content."
60,llm-on,5.5489,True,,"A ride-sharing app where users sign up and log in; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ride-sharing application with user sign-up, login, appointment scheduling, reminder notifications, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment API."
61,llm-on,1.9256,True,,"pls ASAP create a dfd!!! need arrows etc for banking portal, just do it quickly???? thx","Create a DFD illustrating a banking portal with users, account management, transaction processing, and data storage."
62,llm-on,1.8982,True,,"pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx","Create a DFD illustrating an online bookstore with customers placing orders, a payment processing system, and a database for inventory management."
63,llm-on,1.9442,True,,"pls ASAP create a dfd!!! need arrows etc for IoT home automation system, just do it quickly???? thx","Create a DFD illustrating an IoT home automation system involving devices, users, and a central control unit managing data flows for automation tasks."
64,llm-on,2.0608,True,,"A food delivery platform where messages exchanged in real time; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform with real-time message exchanges, appointment scheduling, reminder notifications, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment/API."
65,llm-on,2.1304,True,,"pls ASAP create a dfd!!! need arrows etc for ride-sharing app, just do it quickly???? thx","Create a DFD illustrating the interactions between riders, drivers, the ride-sharing platform, and the payment processing system."
66,llm-on,2.204,True,,health records system. make a diagram.,"Create a DFD illustrating the health records system involving patients, healthcare providers, and a central database for storing medical records."
67,llm-on,2.2538,True,,"A food delivery platform where messages exchanged in real time; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform with real-time messaging, appointment scheduling, reminder sending, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment/API."
68,llm-on,2.155,True,,"A chat application where appointments scheduled and reminders sent; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a chat application where users schedule appointments, receive reminders, search and browse items, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
69,llm-on,1.6552,True,,banking portal. make a diagram.,"Create a DFD illustrating the banking portal with users, transactions, account management, and data storage."
70,llm-on,2.7029,True,,"A food delivery platform where files uploaded and stored in a database; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform with actors uploading files, a database storing data, real-time message exchanges, and sensitive data flows crossing a trust boundary to an external payment API."
71,llm-on,1.9192,True,,IoT home automation system. make a diagram.,"Create a DFD illustrating an IoT home automation system with devices, user interactions, and data management processes."
72,llm-on,1.7535,True,,food delivery platform. make a diagram.,"Create a DFD illustrating a food delivery platform involving customers, restaurants, delivery personnel, and a central order management system."
73,llm-on,2.5805,True,,"A ride-sharing app where users sign up and log in; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ride-sharing app where users sign up, log in, request rides, and drivers accept rides, with data stored in a database and sensitive information flowing to an external payment/API."
74,llm-on,2.2867,True,,"A IoT home automation system where riders request rides and drivers accept; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system where riders request rides, drivers accept requests, files are uploaded and stored in a database, and sensitive data flows to an external payment API across a trust boundary."
75,llm-on,1.5734,True,,banking portal. make a diagram.,"Create a DFD illustrating the interactions between customers, bank employees, and the banking portal for managing accounts and transactions."
76,llm-on,2.0082,True,,"A ticketing system where messages exchanged in real time; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ticketing system with real-time message exchanges, file uploads to a database, and sensitive data flows crossing a trust boundary to an external payment API."
77,llm-on,2.5306,True,,"A chat application where riders request rides and drivers accept; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a chat application where riders request rides, drivers accept requests, payments are processed through an external gateway, and data is stored in a database with sensitive flows crossing a trust boundary to an external payment/API."
78,llm-on,2.9036,True,,"A video streaming service where customers place orders and track status; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a video streaming service where customers place orders, track status, sign up, and log in, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
79,llm-on,2.0488,True,,"A ticketing system where files uploaded and stored in a database; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ticketing system with actors uploading files to a database, processing payments through an external gateway, and managing sensitive data flows across a trust boundary."
80,llm-on,2.2464,True,,"A chat application where search and browse items; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a chat application where customers search and browse items, place orders, track status, and interact with a database while sensitive data flows to an external payment API."
81,llm-on,2.5634,True,,"pls ASAP create a dfd!!! need arrows etc for video streaming service, just do it quickly???? thx","Create a DFD illustrating a video streaming service with users, content servers, and a database for user preferences and video content."
82,llm-on,2.4593,True,,"pls ASAP create a dfd!!! need arrows etc for banking portal, just do it quickly???? thx","Create a DFD illustrating a banking portal with users, account management, transaction processing, and data storage."
83,llm-on,2.1115,True,,"pls ASAP create a dfd!!! need arrows etc for banking portal, just do it quickly???? thx","Create a DFD illustrating a banking portal with users, account management, transaction processing, and data storage."
84,llm-on,2.9189,True,,"A health records system where customers place orders and track status; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a health records system where customers place orders, track status, and stream media, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
85,llm-on,2.5159,True,,"pls ASAP create a dfd!!! need arrows etc for health records system, just do it quickly???? thx","Create a DFD illustrating the health records system with actors such as patients and healthcare providers, processes for managing records, and data stores for storing patient information."
86,llm-on,2.0765,True,,"A university course registration where payments processed via external gateway; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a university course registration system with actors, processes, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment gateway."
87,llm-on,5.4015,True,,"pls ASAP create a dfd!!! need arrows etc for ticketing system, just do it quickly???? thx","Create a DFD illustrating a ticketing system with users, ticket requests, payment processing, and ticket storage."
88,llm-on,1.8585,True,,"pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx","Create a DFD illustrating an online bookstore with customers placing orders, a payment processing system, inventory management, and order fulfillment."
89,llm-on,2.5678,True,,"A health records system where payments processed via external gateway; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a health records system where customers place orders, track status, and process payments through an external gateway, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
90,llm-on,2.1603,True,,university course registration. make a diagram.,"Create a DFD illustrating the university course registration process involving students, courses, and registration data."
91,llm-on,2.4671,True,,"A ticketing system where appointments scheduled and reminders sent; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ticketing system with actors for users and administrators, processes for scheduling appointments and sending reminders, a database for storing data, and flows for real-time messaging and sensitive data crossing a trust boundary to an external payment/API."
92,llm-on,1.9267,True,,online bookstore. make a diagram.,"Create a DFD illustrating an online bookstore with customers, a book inventory system, order processing, and payment processing."
93,llm-on,2.2394,True,,"pls ASAP create a dfd!!! need arrows etc for banking portal, just do it quickly???? thx","Create a DFD illustrating a banking portal with users, account management, transaction processing, and database storage."
94,llm-on,2.7675,True,,"A video streaming service where payments processed via external gateway; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a video streaming service where customers place orders, track status, and process payments through an external gateway, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
95,llm-on,2.3091,True,,"A university course registration where files uploaded and stored in a database; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a university course registration system where students upload files to a database, place orders, track status, and sensitive data flows to an external payment API."
96,llm-on,2.0451,True,,"A IoT home automation system where messages exchanged in real time; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system with real-time message exchanges, external payment processing, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment API."
97,llm-on,2.6821,True,,"A ride-sharing app where customers place orders and track status; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a ride-sharing application where customers place orders, track status, and browse items, with data stored in a database and sensitive flows crossing a trust boundary to an external payment/API."
98,llm-on,1.7599,True,,"pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx","Create a DFD illustrating an online bookstore with customers placing orders, a payment processing system, inventory management, and order fulfillment."
99,llm-on,2.066,True,,"A food delivery platform where stream media over CDN; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform where customers place orders, track status, and interact with a database, while sensitive data flows to an external payment/API across a trust boundary."
100,llm-on,1.724,True,,video streaming service. make a diagram.,"Create a DFD illustrating a video streaming service with users, video content, and a content delivery network."
