idx,label,latency_s,valid,reason_or_hint,prompt,refined
16,no-llm,0.001,True,,"A health records system where stream media over CDN; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where stream media over CDN; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
17,no-llm,0.0009,True,,"A ride-sharing app where appointments scheduled and reminders sent; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ride-sharing app where appointments scheduled and reminders sent; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
18,no-llm,0.001,True,,video streaming service. make a diagram.,Create a DFD illustrating video streaming service. make a.
19,no-llm,0.001,True,,"A chat application where customers place orders and track status; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A chat application where customers place orders and track status; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
20,no-llm,0.0009,True,,"A online bookstore where appointments scheduled and reminders sent; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A online bookstore where appointments scheduled and reminders sent; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
21,no-llm,0.0009,True,,"A IoT home automation system where stream media over CDN; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A IoT home automation system where stream media over CDN; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
22,no-llm,0.0009,True,,health records system. make a diagram.,Create a DFD illustrating health records system. make a.
23,no-llm,0.0009,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",online bookstore. make a diagram.,
24,no-llm,0.0011,True,,"A banking portal where payments processed via external gateway; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A banking portal where payments processed via external gateway; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
25,no-llm,0.0011,True,,"A university course registration where appointments scheduled and reminders sent; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A university course registration where appointments scheduled and reminders sent; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
26,no-llm,0.001,True,,"A university course registration where payments processed via external gateway; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A university course registration where payments processed via external gateway; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
27,no-llm,0.0009,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.","pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx",
28,no-llm,0.002,True,,"A IoT home automation system where files uploaded and stored in a database; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A IoT home automation system where files uploaded and stored in a database; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
29,no-llm,0.001,True,,"A video streaming service where files uploaded and stored in a database; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A video streaming service where files uploaded and stored in a database; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
30,no-llm,0.0009,True,,food delivery platform. make a diagram.,Create a DFD illustrating food delivery platform. make a.
31,no-llm,0.0009,True,,"pls ASAP create a dfd!!! need arrows etc for health records system, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for health records system, just do it quickly???? thx."
32,no-llm,0.0009,True,,"A health records system where customers place orders and track status; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where customers place orders and track status; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
33,no-llm,0.0009,True,,"A university course registration where users sign up and log in; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A university course registration where users sign up and log in; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
34,no-llm,0.001,True,,"A banking portal where riders request rides and drivers accept; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A banking portal where riders request rides and drivers accept; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
35,no-llm,0.0017,True,,"A video streaming service where search and browse items; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A video streaming service where search and browse items; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
36,no-llm,0.0008,True,,health records system. make a diagram.,Create a DFD illustrating health records system. make a.
37,no-llm,0.0009,True,,"A ride-sharing app where search and browse items; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ride-sharing app where search and browse items; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
38,no-llm,0.001,True,,"A health records system where users sign up and log in; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where users sign up and log in; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
39,no-llm,0.0016,True,,"A health records system where files uploaded and stored in a database; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where files uploaded and stored in a database; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
40,no-llm,0.0024,True,,"pls ASAP create a dfd!!! need arrows etc for chat application, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for chat application, just do it quickly???? thx."
41,no-llm,0.001,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",online bookstore. make a diagram.,
42,no-llm,0.0009,True,,"A health records system where stream media over CDN; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where stream media over CDN; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
43,no-llm,0.0009,True,,"A health records system where riders request rides and drivers accept; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where riders request rides and drivers accept; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
44,no-llm,0.0009,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",online bookstore. make a diagram.,
45,no-llm,0.001,True,,"A ticketing system where stream media over CDN; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where stream media over CDN; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
46,no-llm,0.0009,True,,"pls ASAP create a dfd!!! need arrows etc for chat application, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for chat application, just do it quickly???? thx."
47,no-llm,0.001,True,,"A banking portal where users sign up and log in; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A banking portal where users sign up and log in; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
48,no-llm,0.0009,True,,health records system. make a diagram.,Create a DFD illustrating health records system. make a.
49,no-llm,0.0009,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.","pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx",
50,no-llm,0.0008,True,,chat application. make a diagram.,Create a DFD illustrating chat application. make a.
51,no-llm,0.001,True,,"A food delivery platform where customers place orders and track status; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A food delivery platform where customers place orders and track status; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
52,no-llm,0.001,True,,"A university course registration where customers place orders and track status; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A university course registration where customers place orders and track status; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
53,no-llm,0.0009,True,,"A food delivery platform where files uploaded and stored in a database; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A food delivery platform where files uploaded and stored in a database; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
54,no-llm,0.0009,True,,"pls ASAP create a dfd!!! need arrows etc for IoT home automation system, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for IoT home automation system, just do it quickly???? thx."
55,no-llm,0.0009,True,,"pls ASAP create a dfd!!! need arrows etc for ride-sharing app, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for ride-sharing app, just do it quickly???? thx."
56,no-llm,0.0009,True,,"A health records system where files uploaded and stored in a database; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where files uploaded and stored in a database; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
57,no-llm,0.001,True,,"A ticketing system where customers place orders and track status; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where customers place orders and track status; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
58,no-llm,0.0009,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.","pls ASAP create a dfd!!! need arrows etc for banking portal, just do it quickly???? thx",
59,no-llm,0.001,True,,"pls ASAP create a dfd!!! need arrows etc for food delivery platform, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for food delivery platform, just do it quickly???? thx."
60,no-llm,0.001,True,,"A IoT home automation system where files uploaded and stored in a database; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A IoT home automation system where files uploaded and stored in a database; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
61,no-llm,0.0009,True,,"A video streaming service where files uploaded and stored in a database; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A video streaming service where files uploaded and stored in a database; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
62,no-llm,0.0008,True,,health records system. make a diagram.,Create a DFD illustrating health records system. make a.
63,no-llm,0.0009,True,,"A health records system where payments processed via external gateway; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where payments processed via external gateway; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
64,no-llm,0.001,True,,"A ride-sharing app where customers place orders and track status; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ride-sharing app where customers place orders and track status; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
65,no-llm,0.0009,True,,"A ticketing system where search and browse items; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where search and browse items; users sign up and log in. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
66,no-llm,0.0009,True,,"A banking portal where messages exchanged in real time; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A banking portal where messages exchanged in real time; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
67,no-llm,0.0008,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.","pls ASAP create a dfd!!! need arrows etc for university course registration, just do it quickly???? thx",
68,no-llm,0.0008,True,,chat application. make a diagram.,Create a DFD illustrating chat application. make a.
69,no-llm,0.0008,True,,chat application. make a diagram.,Create a DFD illustrating chat application. make a.
70,no-llm,0.0008,True,,"pls ASAP create a dfd!!! need arrows etc for ride-sharing app, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for ride-sharing app, just do it quickly???? thx."
71,no-llm,0.0009,True,,"A ticketing system where stream media over CDN; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where stream media over CDN; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
72,no-llm,0.0009,True,,"A ride-sharing app where files uploaded and stored in a database; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ride-sharing app where files uploaded and stored in a database; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
73,no-llm,0.0009,True,,"A online bookstore where appointments scheduled and reminders sent; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A online bookstore where appointments scheduled and reminders sent; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
74,no-llm,0.0008,True,,"pls ASAP create a dfd!!! need arrows etc for IoT home automation system, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for IoT home automation system, just do it quickly???? thx."
75,no-llm,0.0008,True,,"A ticketing system where messages exchanged in real time; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where messages exchanged in real time; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
76,no-llm,0.0008,True,,IoT home automation system. make a diagram.,Create a DFD illustrating IoT home automation system. make a.
77,no-llm,0.0008,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",online bookstore. make a diagram.,
78,no-llm,0.0009,True,,"A health records system where customers place orders and track status; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where customers place orders and track status; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
79,no-llm,0.0009,True,,"A video streaming service where files uploaded and stored in a database; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A video streaming service where files uploaded and stored in a database; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
80,no-llm,0.0009,True,,"A ticketing system where stream media over CDN; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where stream media over CDN; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
81,no-llm,0.0008,True,,food delivery platform. make a diagram.,Create a DFD illustrating food delivery platform. make a.
82,no-llm,0.0009,True,,"A online bookstore where messages exchanged in real time; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A online bookstore where messages exchanged in real time; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
83,no-llm,0.0008,True,,"pls ASAP create a dfd!!! need arrows etc for food delivery platform, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for food delivery platform, just do it quickly???? thx."
84,no-llm,0.0008,True,,"A IoT home automation system where users sign up and log in; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A IoT home automation system where users sign up and log in; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
85,no-llm,0.0008,True,,food delivery platform. make a diagram.,Create a DFD illustrating food delivery platform. make a.
86,no-llm,0.0009,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.","pls ASAP create a dfd!!! need arrows etc for banking portal, just do it quickly???? thx",
87,no-llm,0.0008,True,,"pls ASAP create a dfd!!! need arrows etc for food delivery platform, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for food delivery platform, just do it quickly???? thx."
88,no-llm,0.0008,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",banking portal. make a diagram.,
89,no-llm,0.0008,True,,"A IoT home automation system where users sign up and log in; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A IoT home automation system where users sign up and log in; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
90,no-llm,0.0008,True,,"A ticketing system where files uploaded and stored in a database; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where files uploaded and stored in a database; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
91,no-llm,0.0008,True,,"A online bookstore where search and browse items; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A online bookstore where search and browse items; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
92,no-llm,0.0009,True,,"A health records system where appointments scheduled and reminders sent; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A health records system where appointments scheduled and reminders sent; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
93,no-llm,0.0008,True,,"pls ASAP create a dfd!!! need arrows etc for ticketing system, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for ticketing system, just do it quickly???? thx."
94,no-llm,0.0009,True,,"A ticketing system where search and browse items; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where search and browse items; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
95,no-llm,0.0008,True,,health records system. make a diagram.,Create a DFD illustrating health records system. make a.
96,no-llm,0.0008,True,,"pls ASAP create a dfd!!! need arrows etc for ride-sharing app, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for ride-sharing app, just do it quickly???? thx."
97,no-llm,0.0009,True,,"A university course registration where riders request rides and drivers accept; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A university course registration where riders request rides and drivers accept; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
98,no-llm,0.0009,True,,"A university course registration where payments processed via external gateway; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A university course registration where payments processed via external gateway; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
99,no-llm,0.0008,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",banking portal. make a diagram.,
100,no-llm,0.0009,True,,"A university course registration where riders request rides and drivers accept; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A university course registration where riders request rides and drivers accept; stream media over CDN. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
